# Wavelength (µm)	QE
1.015	0.416948258
1.016	0.417907427
1.017	0.417977825
1.018	0.418532207
1.019	0.419174586
1.02	0.419649771
1.021	0.421022527
1.022	0.422087293
1.023	0.42312566
1.024	0.424392819
1.025	0.425783175
1.026	0.427411123
1.027	0.429091869
1.028	0.43064062
1.029	0.432523759
1.03	0.434169307
1.031	0.435383668
1.032	0.436466033
1.033	0.437451602
1.034	0.439141147
1.035	0.440408307
1.036	0.441420275
1.037	0.442529039
1.038	0.442405843
1.039	0.442133052
1.04	0.442379444
1.041	0.441631468
1.042	0.441094685
1.043	0.440901091
1.044	0.440267511
1.045	0.440276311
1.046	0.439563534
1.047	0.439167547
1.048	0.438533967
1.049	0.437733193
1.05	0.437302006
1.051	0.436923618
1.052	0.436316438
1.053	0.43594685
1.054	0.435656459
1.055	0.435374868
1.056	0.435146075
1.057	0.435198874
1.058	0.43563886
1.059	0.435700458
1.06	0.435858853
1.061	0.436765224
1.062	0.437662795
1.063	0.438868356
1.064	0.440100317
1.065	0.441657867
1.066	0.443461809
1.067	0.445212953
1.068	0.44656811
1.069	0.448354453
1.07	0.449894403
1.071	0.451275959
1.072	0.452516719
1.073	0.454250264
1.074	0.455807814
1.075	0.456802182
1.076	0.457602957
1.077	0.458368532
1.078	0.459257304
1.079	0.459864484
1.08	0.460823654
1.081	0.461747624
1.082	0.461800422
1.083	0.461589229
1.084	0.461694826
1.085	0.46155403
1.086	0.461034847
1.087	0.460366068
1.088	0.459706089
1.089	0.459107709
1.09	0.458280535
1.091	0.457347765
1.092	0.456538191
1.093	0.455649419
1.094	0.454954241
1.095	0.454171067
1.096	0.453599085
1.097	0.45344949
1.098	0.452851109
1.099	0.452719113
1.1	0.452754312
1.101	0.452675114
1.102	0.453079901
1.103	0.453220697
1.104	0.453713481
1.105	0.453951074
1.106	0.454267863
1.107	0.455174234
1.108	0.456318198
1.109	0.457690954
1.11	0.458966913
1.111	0.460357269
1.112	0.461545231
1.113	0.463146779
1.114	0.464853925
1.115	0.466217881
1.116	0.467361844
1.117	0.468717001
1.118	0.47031855
1.119	0.471700106
1.12	0.473468849
1.121	0.474903203
1.122	0.475783175
1.123	0.476786343
1.124	0.477587117
1.125	0.478625484
1.126	0.479531855
1.127	0.480332629
1.128	0.481177402
1.129	0.481335797
1.13	0.481326998
1.131	0.481239
1.132	0.481511792
1.133	0.481370996
1.134	0.480799014
1.135	0.480834213
1.136	0.480570222
1.137	0.480130236
1.138	0.479567054
1.139	0.479127068
1.14	0.478669483
1.141	0.478502288
1.142	0.478000704
1.143	0.477164731
1.144	0.476733545
1.145	0.475809574
1.146	0.475290391
1.147	0.474956001
1.148	0.474392819
1.149	0.47437522
1.15	0.473979233
1.151	0.473803238
1.152	0.473891235
